"직무분야","질문카테고리","자기소개 개수","하드스킬_키워드","소프트스킬_키워드","추출회사명"
"IT·전자","직무역량",220,"공정, 반도체, 개발, 데이터, 문제, 기업, 연구, 제품, 산업, 분석, 해결, 환경, 시스템, 성능, 발전","","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","성장과정",220,"문제, 프로젝트, 연구, 공정, 해결, 분석, 도전, 데이터, 개발, 실험, 반도체, 발생, 공부, 실패, 구조","팀원, 협업, 소통","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","경험",220,"공정, 데이터, 분석, 문제, 프로젝트, 연구, 해결, 개발, 반도체, 조건, 발생, 실험, 구조, 시스템, 성능","팀원, 협업","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","기타",220,"공정, 분석, 데이터, 개발, 문제, 프로젝트, 해결, 기업, 반도체, 시스템, 실험, 연구, 환경, 제품, 학습","팀원","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","자기소개",220,"보안, 관리, 해결, 프로젝트, 장비, 문제, 취약점, 담당, 분석, 효율, 방안, 성공, 고객, 계획, 문의","팀원, 소통, 협업, 경청","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","장단점",220,"문제, 해결, 성격, 포기, 멘토링, 공정, 태도, 분석, 강점, 연구, 전문가, 필수, 해시태그, 걱정, 프로젝트","성실, 책임감, 협업","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","지원동기",220,"제품, 개발, 데이터, 공정, 연구, 분석, 시스템, 문제, 고객, 성능, 소재, 안정, 해결, 가전, 혁신","신뢰","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","가치관",220,"현장, 가치관, 데이터, 문제, 제조, 건강, 자기, 기록, 개성, 강점, 자유, 선택, 프로젝트, 해결, 흐름","긍정, 표현","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"IT·전자","입사포부",220,"국가, 함정, 체계, 해양, 시스템, 국방, 전투, 데이터, 분석, 국내, 최고, 기업, 산업, 지능, 첨단","","삼성전자, 삼성전자DS, 삼성SDI, 삼성SDI헝가리법인, 삼성SDS, 삼성전기, 삼성디스플레이, 현대오토에버, SK하이닉스, LG전자, LG디스플레이, LG이노텍, LG CNS, 포스코DX, 한화시스템, HD현대일렉트릭, LS일렉트릭, 카카오모빌리티, 카카오, 카카오VX, NAVER Cloud, KT DS"
"건설·부동산","직무역량",29,"환경, 현장, 프로젝트, 플랜트, 공정, 문제, 분석, 사업, 과목, 에너지, 관리, 시스템, 지식, 데이터, 해결","팀원, 협업, 적극","삼성물산, 삼성E&A, 현대건설, 롯데건설, 롯데건설(주), GS건설, 코오롱글로벌"
